"filename", "language", "Dart", "comment", "blank", "total"
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/create_question_page.dart", "Dart", 234, 4, 14, 252
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/edit_profile_page.dart", "Dart", 208, 0, 15, 223
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/evaluation_page.dart", "Dart", 189, 1, 8, 198
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/favorite_teachers_page.dart", "Dart", 82, 1, 6, 89
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/home_page.dart", "Dart", 186, 0, 6, 192
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/login_page.dart", "Dart", 25, 2, 3, 30
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/menu_page.dart", "Dart", 70, 0, 4, 74
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/my_page.dart", "Dart", 229, 0, 13, 242
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/notification_page.dart", "Dart", 160, 2, 11, 173
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/page1.dart", "Dart", 19, 1, 3, 23
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/page2.dart", "Dart", 39, 1, 5, 45
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/page3.dart", "Dart", 25, 0, 3, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/profile_input_page.dart", "Dart", 162, 1, 12, 175
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/question_and_answer_page.dart", "Dart", 236, 2, 6, 244
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/report_page.dart", "Dart", 190, 1, 9, 200
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/reset_password_page.dart", "Dart", 38, 0, 5, 43
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/search_for_questions_page.dart", "Dart", 209, 0, 7, 216
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/search_for_teachers_page.dart", "Dart", 229, 0, 9, 238
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/select_teachers_page.dart", "Dart", 237, 1, 10, 248
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/pages/teacher_profile_page.dart", "Dart", 116, 0, 5, 121
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/router/app.dart", "Dart", 35, 0, 4, 39
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/router/router.dart", "Dart", 236, 0, 7, 243
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/router/router.g.dart", "Dart", 12, 7, 6, 25
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/router/scaffold_with_navbar.dart", "Dart", 61, 0, 5, 66
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/shared/constants/color_set.dart", "Dart", 85, 0, 27, 112
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/shared/constants/font_set.dart", "Dart", 4, 0, 0, 4
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/shared/constants/font_size_set.dart", "Dart", 16, 0, 4, 20
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/shared/constants/font_weight_set.dart", "Dart", 5, 0, 0, 5
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/shared/constants/l10n.dart", "Dart", 215, 19, 36, 270
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/shared/constants/padding_set.dart", "Dart", 13, 0, 4, 17
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/shared/constants/page_path.dart", "Dart", 82, 3, 3, 88
"/Users/morikazu/Downloads/StudyHub_student/lib/presentation/shared/utils/accessibility.dart", "Dart", 17, 0, 5, 22
"/Users/morikazu/Downloads/StudyHub_student/lib/service.dart", "Dart", 11, 1, 3, 15
"/Users/morikazu/Downloads/StudyHub_student/lib/utils/accessibility.dart", "Dart", 10, 0, 3, 13
"/Users/morikazu/Downloads/StudyHub_student/lib/utils/zip.dart", "Dart", 7, 0, 2, 9
"Total", "-", 17033, 853, 2475, 20361
